corp_id,name,focus,home_nation,balance,starting_capital,since_start,buildings
53498,"Tukait Operations",Processing,"Tukaitai",557.591,0,557.591,5
53370,"Dynan Resources",Extraction,"Henshim Kikhom",2006.15,0,2006.15,7
53509,"RexelYelor Systems",Processing,"Veiraimu Veivu",1013.42,0,1013.42,4
53502,"Das Logistics",Processing,"Das Dusdai",182.25,0,182.25,4
53374,"Luxan Industries",Extraction,"Lislaisai Sidi",1189.27,0,1189.27,5
53442,"Ruthme Logistics",Extraction,"Ruthme Kaithta",952.681,0,952.681,5
53378,"JorenRexax Enterprises",Extraction,"Dikha",-832.116,0,-832.116,4
53383,"Rexar Dynamics",Extraction,"Kero",2413.15,0,2413.15,7
53450,"Intar-WenaxIntyx Industries",Processing,"Ruari",425.358,0,425.358,5
53386,"PaxonNexen Enterprises",Processing,"Muashua",1606.09,0,1606.09,4
53394,"Lidu Logistics",Processing,"Lidu Khakhulu",876.535,0,876.535,6
53403,"XeronBryis-Paxyx Industries",Extraction,"Simmuam Kikhom",1400.95,0,1400.95,5
53407,"DelelCalyx-Orbix Enterprises",Extraction,"Keshuamuan",1963.28,0,1963.28,5
53413,"Luxyx Holdings",Processing,"Reheth",1058.12,0,1058.12,3
53538,"Dikha International",Extraction,"Dikha",1312.95,0,1312.95,5
53417,"Calon Enterprises",Processing,"Kenhon Kimokua",749.703,0,749.703,6
53420,"Bryos Logistics",Processing,"Rimere",976.694,0,976.694,4
53489,"QuaurXeren-UlvosExoel Operations",Processing,"Rakkhua Ruzu",2357.11,0,2357.11,4
53425,"Bryur Dynamics",Extraction,"Teireimo Reitei",1063.7,0,1063.7,7
53433,"Teron Enterprises",Extraction,"Zeiketh Zeka",2039.47,0,2039.47,5
53437,"Kathra Holdings",Processing,"Kathrai Daimaith",1347.96,0,1347.96,5
53446,"Muamtu Extraction Co.",Extraction,"Muamtuakme Kemei",845.878,0,845.878,4
53461,"Vecos Resources",Processing,"Neinehei",1276.51,0,1276.51,4
53586,"Marur Industries",Processing,"Thathdailuth",385.55,0,385.55,5
53465,"BryyxUlvom-Hexyx Industries",Processing,"Heithhe Reineith",-1170.23,0,-1170.23,6
53469,"Hexel Systems",Processing,"Lathlu Kailuth",1084.6,0,1084.6,6
53472,"UlvaxIntax Systems",Processing,"Shuathmo Zeka",679.751,0,679.751,5
53476,"SolonSolus Industries",Processing,"Kuksu Kusak",2347.02,0,2347.02,4
53479,"MarelGenel Enterprises",Processing,"Toko Keimo",1658.92,0,1658.92,4
53482,"BryixFaros-Borom Ventures",Processing,"Luthai Muruk",616.344,0,616.344,4
53485,"KalusOrbom Ventures",Processing,"Mokeirei Meitei",1053.8,0,1053.8,3
53492,"Farel International",Processing,"Lukuk Shakasa",1717.67,0,1717.67,4
53608,"NexonGenor Operations",Processing,"Mei Kokomo",-1316.9,0,-1316.9,4
53495,"Nexor Ventures",Processing,"He Bereth",1388.4,0,1388.4,4
53506,"Hexel-ExoarUlvom Processing Group",Processing,"Teta",659.755,0,659.755,6
53519,"DelelJoris-Zenom Holdings",Processing,"Toro Motei",624.822,0,624.822,4
53527,"Genis-Wenix International",Processing,"Kua Meho",638.98,0,638.98,4
53534,"Borel-Quaus Holdings",Extraction,"Lislaisai Sidi",1533.33,0,1533.33,5
53542,"AthanVecom Extraction Co.",Extraction,"Kero",330.31,0,330.31,5
53547,"Muashu Ventures",Extraction,"Muashua",1525.59,0,1525.59,7
53552,"AthurOrbix International",Extraction,"Sa Ruakthuk",1801.93,0,1801.93,8
53556,"Lidu Extraction Co.",Extraction,"Lidu Khakhulu",2253.13,0,2253.13,5
53559,"ExourZenyx-Solos International",Processing,"Daini Sidi",772.723,0,772.723,5
53562,"AexarMarar-MarisCorus Processing Group",Processing,"Simmuam Kikhom",1014.64,0,1014.64,3
53566,"Kalen Extraction Co.",Extraction,"Keshuamuan",910.948,0,910.948,5
53570,"Hishem Enterprises",Extraction,"Hishem Kikhom",519.397,0,519.397,5
53577,"Kenhon Systems",Processing,"Kenhon Kimokua",1111.67,0,1111.67,3
53580,"Rimere Processing Group",Processing,"Rimere",1050.65,0,1050.65,4
53583,"SolisFarex Industries",Processing,"Teireimo Reitei",579.475,0,579.475,4
53589,"UlvelSolos Industries",Processing,"Zeiketh Zeka",1393.67,0,1393.67,3
53592,"CalorVecar Systems",Processing,"Kathrai Daimaith",1022.57,0,1022.57,4
53595,"Ruthme Enterprises",Processing,"Ruthme Kaithta",398.647,0,398.647,4
53598,"Muamtu Dynamics",Processing,"Muamtuakme Kemei",1071.22,0,1071.22,5
53601,"Ruari Extraction Co.",Processing,"Ruari",1266.47,0,1266.47,3
53604,"Aexix Resources",Processing,"Shilmemel",991.012,0,991.012,4
53612,"ExoonSolor-Luxor Operations",Processing,"Neinehei",1774.18,0,1774.18,6
53615,"Nexyx Ventures",Processing,"Heithhe Reineith",1285.27,0,1285.27,3
